"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"400" 3 1 0.7 512 0.9216 0.577308118540208 1
"401" 6 2 0.6 256 0.9775 0.577201669270513 2
"402" 7 2 0.7 1024 0.9753 0.577172859916423 1
"403" 7 2 0.3 32 0.9775 0.577144720594067 2
"404" 7 2 0.6 8 0.9774 0.577105762688601 2
"405" 7 2 0.9 128 0.9775 0.577035767641886 2
"406" 5 3 0.5 128 0.9771 0.576993852581554 1
"407" 3 3 0.8 8 0.9762 0.576941906103582 1
"408" 4 3 0.2 512 0.9765 0.576895065209225 1
"409" 7 2 0.8 10000 0.9751 0.576876133075121 1
"410" 7 2 0.8 1024 0.9775 0.576816596864037 2
"411" 7 2 0.5 8 0.9775 0.576797177772336 2
"412" 8 2 0.5 64 0.9752 0.576794765450267 1
"413" 7 2 0.8 256 0.9775 0.57678527208784 2
"414" 3 1 0.3 64 0.9219 0.576717221207965 1
"415" 4 1 0.5 256 0.9218 0.576679596932095 1
"416" 3 1 0.1 64 0.9195 0.576656965673635 1
"417" 6 2 0.6 64 0.9774 0.576628068489255 2
"418" 5 1 0.8 128 0.9208 0.576613665687654 1
"419" 7 2 0.6 10000 0.9756 0.5766081304356 2
"420" 6 1 0.3 4 0.9193 0.576603545445384 1
"421" 4 3 0.6 512 0.9769 0.576593886955727 1
"422" 7 2 0.4 32 0.9751 0.576572433948731 1
"423" 8 2 0.8 16 0.9749 0.576545793309475 1
"424" 3 2 0.3 2 0.9684 0.576459200238846 1
"425" 3 2 0.7 16 0.9745 0.576436423859562 1
"426" 8 2 0.5 1024 0.9752 0.57640883169937 1
"427" 3 2 0.4 4 0.9727 0.57640536176133 1
"428" 6 2 0.5 512 0.9753 0.576361361020085 1
"429" 7 2 0.6 4 0.9773 0.576358909996597 2
"430" 6 2 0.6 32 0.9774 0.576325224607591 2
"431" 8 3 0.6 4 0.9752 0.576320362204139 1
"432" 3 1 0.1 128 0.9195 0.576288725461645 1
"433" 3 3 0.5 4 0.9736 0.576258189313591 1
"434" 3 3 0.6 2 0.9709 0.576205276500176 1
"435" 7 2 0.9 512 0.9775 0.576158453841025 2
"436" 5 1 0.7 128 0.9206 0.576153458574657 1
"437" 7 3 0.4 64 0.9775 0.576131953614857 1
"438" 8 1 0.5 4 0.9199 0.576078316976028 1
"439" 6 2 0.4 10000 0.9769 0.576055078362573 2
"440" 3 2 0.7 32 0.9745 0.576044930360677 1
"441" 6 1 0.7 1024 0.919 0.575992563252676 1
"442" 8 2 0.5 256 0.9752 0.575972750840612 1
"443" 6 1 0.8 128 0.9189 0.575939929344011 1
"444" 3 2 0.1 16 0.973 0.57593687087252 1
"445" 7 2 0.5 128 0.9752 0.575892670330021 1
"446" 8 2 0.4 32 0.9751 0.575890496678375 1
"447" 4 2 0.1 512 0.9749 0.575868784795624 1
"448" 5 2 0.1 512 0.9749 0.575849917908573 1
"449" 3 3 0.2 1 0.9587 0.575840540430862 1
